[227, 'incorrect_immediate_operand', '000002', 1710, 'decode.imm_hi_out']
[228, 'incorrect_immediate_operand', '000004', 1710, 'decode.imm_hi_out']
[229, 'incorrect_immediate_operand', '000004', 1710, 'decode.imm_hi_out']
[230, 'incorrect_immediate_operand', '000004', 1710, 'decode.imm_hi_out']
[231, 'incorrect_immediate_operand', '000008', 1710, 'decode.imm_hi_out']
[232, 'incorrect_immediate_operand', '000008', 1710, 'decode.imm_hi_out']
[233, 'incorrect_immediate_operand', '000008', 1710, 'decode.imm_hi_out']
[234, 'incorrect_immediate_operand', '000010', 1710, 'decode.imm_hi_out']
[235, 'incorrect_immediate_operand', '000010', 1710, 'decode.imm_hi_out']
[236, 'incorrect_immediate_operand', '000010', 1710, 'decode.imm_hi_out']
[237, 'invalid_register', '00000002', 1710, 'decode.dest_out']
[237, 'incorrect_immediate_operand', '000010', 1710, 'decode.imm_hi_out']
[238, 'incorrect_immediate_operand', '000020', 1710, 'decode.imm_hi_out']
[239, 'incorrect_immediate_operand', '000020', 1710, 'decode.imm_hi_out']
[240, 'incorrect_immediate_operand', '000040', 1710, 'decode.imm_hi_out']
[241, 'incorrect_immediate_operand', '000040', 1710, 'decode.imm_hi_out']
[242, 'incorrect_immediate_operand', '000080', 1710, 'decode.imm_hi_out']
[243, 'incorrect_immediate_operand', '000080', 1710, 'decode.imm_hi_out']
[244, 'incorrect_immediate_operand', '000800', 1710, 'decode.imm_hi_out']
[245, 'incorrect_immediate_operand', '000800', 1710, 'decode.imm_hi_out']
[246, 'incorrect_immediate_operand', '001000', 1710, 'decode.imm_hi_out']
[247, 'incorrect_immediate_operand', '001000', 1710, 'decode.imm_hi_out']
[248, 'incorrect_immediate_operand', '002000', 1710, 'decode.imm_hi_out']
[249, 'incorrect_immediate_operand', '002000', 1710, 'decode.imm_hi_out']
[250, 'incorrect_immediate_operand', '004000', 1710, 'decode.imm_hi_out']
[251, 'incorrect_immediate_operand', '004000', 1710, 'decode.imm_hi_out']
[252, 'incorrect_immediate_operand', '010000', 1710, 'decode.imm_hi_out']
[253, 'incorrect_immediate_operand', '010000', 1710, 'decode.imm_hi_out']
