[71490, '00000009', '00000020', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000024', '000000002102e800']
[71490, '00000009', '00000020', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000024', '000000002102e800']
[71490, '00000009', '00000020', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000024', '000000002102e800']
[71490, '00000009', '00000020', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000024', '000000002102e800']
[78210, '0000000a', '00000024', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000028', '000000002102ea0c']
[78210, '0000000a', '00000024', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000028', '000000002102ea0c']
[78210, '0000000a', '00000024', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000028', '000000002102ea0c']
[78210, '0000000a', '00000024', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000028', '000000002102ea0c']
[78210, '0000000a', '00000024', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000028', '000000002102ea0c']
[78210, '0000000a', '00000024', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000028', '000000002102ea0c']
[78210, '0000000a', '00000024', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000028', '000000002102ea0c']
[78210, '0000000a', '00000024', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000028', '000000002102ea0c']
[78210, '0000000a', '00000024', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000028', '000000002102ea0c']
[154830, '0000000b', '00000028', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000030', '80c00780d00e0005']
[154830, '0000000b', '00000028', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000030', '80c00780d00e0005']
[154830, '0000000b', '00000028', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000030', '80c00780d00e0005']
[154830, '0000000b', '00000028', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000030', '80c00780d00e0005']
[154830, '0000000b', '00000028', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000030', '80c00780d00e0005']
[154830, '0000000b', '00000028', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000030', '80c00780d00e0005']
[154830, '0000000b', '00000028', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000030', '80c00780d00e0005']
[154830, '0000000b', '00000028', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000030', '80c00780d00e0005']
[154830, '0000000b', '00000028', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000030', '80c00780d00e0005']
[236110, 'XxxxxxxX', 'XfxXffff', '1f', '3', 'f', 'ffffffff', 'XxxxxXXf', 'xxxx', 'xxx', 'xxX', 'XxXXxxfx', 'XXxXXxXxX']
[236110, '0000000d', '00000030', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000038', '80c00780d00e0601']
[236110, '0000000d', '00000030', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000038', '80c00780d00e0601']
[236110, '0000000d', '00000030', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000038', '80c00780d00e0601']
[236110, '0000000d', '00000030', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000038', '80c00780d00e0601']
[236110, '0000000d', '00000030', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000038', '80c00780d00e0601']
[236110, '0000000d', '00000030', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000038', '80c00780d00e0601']
[236110, '0000000d', '00000030', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000038', '80c00780d00e0601']
[236110, '0000000d', '00000030', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000038', '80c00780d00e0601']
[236110, '0000000d', '00000030', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000038', '80c00780d00e0601']
[249230, '0000000f', '00000038', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '0000003c', '00000000b0000204']
[249230, '0000000f', '00000038', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '0000003c', '00000000b0000204']
[249230, '0000000f', '00000038', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '0000003c', '00000000b0000204']
[249230, '0000000f', '00000038', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '0000003c', '00000000b0000204']
[249230, '0000000f', '00000038', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '0000003c', '00000000b0000204']
[249230, '0000000f', '00000038', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '0000003c', '00000000b0000204']
[249230, '0000000f', '00000038', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '0000003c', '00000000b0000204']
[249230, '0000000f', '00000038', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '0000003c', '00000000b0000204']
[249230, '0000000f', '00000038', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '0000003c', '00000000b0000204']
