[64750, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[64750, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[64750, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[64750, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[64750, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[64750, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[71490, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[71490, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[71490, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[71490, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[71490, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[71490, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[71490, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[71490, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[71490, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[78210, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[78210, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[78210, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[78210, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[78210, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[78210, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[78210, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[78210, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[78210, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[154830, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[154830, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[154830, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[154830, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[154830, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[154830, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[154830, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[154830, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[154830, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[236110, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[236110, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[236110, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[236110, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[236110, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[236110, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[236110, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[236110, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[236110, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[249230, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[249230, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[249230, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[249230, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[249230, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[249230, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[249230, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[249230, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[249230, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[256130, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[256130, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[256130, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[256130, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[256130, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[256130, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[256130, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[256130, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[256130, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[323730, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[323730, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[323730, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[323730, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[323730, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[323730, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[323730, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[323730, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[323730, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
