[34370, '........', '..', '.', '.', '.....4..', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '.....8..', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '....1...', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '....2...', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '....4...', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '....8...', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '...1....', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '...2....', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '...4....', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '...8....', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '..1.....', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '..2.....', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '..4.....', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '..8.....', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '.1......', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '.2......', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '.2.98262', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '.4......', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '.8......', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '1.......', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '2.......', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '4.......', '....', '...', '...', '..']
[34370, '........', '..', '.', '.', '8.......', '....', '...', '...', '..']
[34370, '........', '..', '.', '1', '........', '....', '...', '...', '..']
[34370, '........', '..', '.', '2', '........', '....', '...', '...', '..']
[34370, '........', '..', '.', '4', '........', '....', '...', '...', '..']
[34370, '........', '..', '.', '8', '........', '....', '...', '...', '..']
[34370, '........', '..', '1', '.', '........', '....', '...', '...', '..']
[34370, '........', '..', '2', '.', '........', '....', '...', '...', '..']
[34370, '........', '.1', '.', '.', '........', '....', '...', '...', '..']
[34370, '........', '.2', '.', '.', '........', '....', '...', '...', '..']
[34370, '........', '.4', '.', '.', '........', '....', '...', '...', '..']
[34370, '........', '.8', '.', '.', '........', '....', '...', '...', '..']
[34370, '........', '1.', '.', '.', '........', '....', '...', '...', '..']
[34370, '.......1', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '.......2', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '.......4', '..', '.', '.', '........', '....', '...', '...', '..']
